SID,COL,SCODE,YEAR,TASK,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127,E128,E129,E130,E131,E132,E133,E134,E135,E136,E137,E138,E139,E140,E141,E142,E143,E144,E145,E146,E147,E148,E149,E150,E151,E152,E153,E154,E155,E156,E157,E158,E201,E202,E203,E204,E205,E206,E207,E208,E209,E210,E211,E212,E213,E214,E215,E216,E217,E218,E219
310151107207001H04801,1,18.048.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151107207001H03801,1,18.038.01h,2017,4,1.5,1.5,,,,,1.5,1.5,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151107207001H03601,1,18.036.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H04501,1,19.045.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H01501,1,19.015.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H06801,1,19.068.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H04801,1,19.048.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H02801,1,19.028.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H03601,1,19.036.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,.1,.1,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H03101,1,19.031.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,.1,.1,.1,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H06201,1,19.062.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H02601,1,19.026.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H07801,1,19.078.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,.1,.1,.1,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H03201,1,19.032.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,.1,.1,.1,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108204001H06701,1,19.067.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H05601,1,20.056.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H00301,1,20.003.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H02501,1,20.025.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H06501,1,20.065.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,
310151108218001H03801,1,20.038.01h,2017,4,,,1.3,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H07701,1,20.077.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H07201,1,20.072.01h,2017,4,.3,.3,,,,,.3,.3,,,,,,,.3,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,30000,20000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H01101,1,20.011.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H03901,1,20.039.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H06301,1,20.063.01h,2017,4,3.1,3.1,,,,,3.1,3.1,,,,,,3,,,,,,,.1,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H07101,1,20.071.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151108218001H07801,1,20.078.01h,2017,4,.2,.2,,,,,.2,.2,,,,,.2,,.1,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H08001,1,21.080.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H04601,1,21.046.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H06901,1,21.069.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H07101,1,21.071.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H01401,1,21.014.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H04901,1,21.049.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H01001,1,21.010.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H03201,1,21.032.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H01901,1,21.019.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H00501,1,21.005.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H06301,1,21.063.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H07301,1,21.073.01h,2017,4,.52,.52,,,,,.52,.52,,,,,,.52,,,,,,,,,,,.52,.52,.52,.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H02601,1,21.026.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H01501,1,21.015.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H07601,1,21.076.01h,2017,4,.2,,,,,,,,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151109201001H04701,1,21.047.01h,2017,4,1.97,1.97,,,,,1.97,1.97,,,,,,1.97,,,,,,,,,,,1.97,1.97,1.97,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H05701,1,22.057.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,,,,,,,.2,,,,,,,,8,,,,,,,,,,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H03201,1,22.032.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H05501,1,22.055.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H04001,1,22.040.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H05801,1,22.058.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H02501,1,22.025.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,15,,,,,,,,,,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H03301,1,22.033.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H02801,1,22.028.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H05901,1,22.059.01h,2017,4,.1,.1,,,,,.1,.1,,,,,,,,,,,,,.1,,,,,,,,10,,,,,,,,,,2000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H06601,1,22.066.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H00101,1,22.001.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110206001H02301,1,22.023.01h,2017,4,.5,.5,,,,,.5,.5,,,,,,,,,,,,,.5,,,,,,,,15,,,,,,,,,,6000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H06301,1,23.063.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H06401,1,23.064.01h,2017,4,2,2,,,,,2,2,,,,,,,.5,.5,,,,,1,,,,,,,,30,,,,,,,,,,15000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H03201,1,23.032.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H06201,1,23.062.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,,,,,,,.2,,,,,,,,30,,,,,,,,,,18000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H00701,1,23.007.01h,2017,4,1,1,,,,,1,1,,,,,,,.2,.5,,,,,1,,,,,,,,30,,,,,,,,,,15000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H05501,1,23.055.01h,2017,4,.5,.5,,,,,.5,.5,,,,,,,,,,,,,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H01501,1,23.015.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H06001,1,23.060.01h,2017,4,.15,.15,,,,,.15,.15,,,,,,,,,,,,,.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H03501,1,23.035.01h,2017,4,.56,.56,,,,,.56,.56,,,,,,,.1,.3,,,,,.56,,,,,,,,40,,,,,,,,,,20000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H04401,1,23.044.01h,2017,4,.5,.5,,,,,.5,.5,,,,,,,,,,,,,.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H06701,1,23.067.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H02301,1,23.023.01h,2017,4,.2,.2,,,,,.2,.2,,,,,,,,,,,,,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H03601,1,23.036.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H02401,1,23.024.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151110208001H02901,1,23.029.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151111204001H06001,1,24.060.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151111204001H04401,1,24.044.01h,2017,4,2,2,0,5.5,0,0,2,2,0,5.5,0,0,0,2,0,0,0,0,0,0,0,0,5.5,0,2,2,4,2,15,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,800,800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H02801,1,24.028.01h,2017,4,4.5,4.5,0,7.5,0,0,4.5,4.5,0,7.5,0,0,0,4.5,0,0,0,0,0,0,0,0,7.5,0,4.5,0,4.5,4.5,15,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H03701,1,24.037.01h,2017,4,2.2,2.2,0,2.3,0,0,2.2,2.2,0,2.3,0,0,0,2.2,0,0,0,0,0,0,0,0,2.3,0,2.2,0,2.2,2.2,10,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H01101,1,24.011.01h,2017,4,10,10,0,.3,0,0,.78,.78,0,.3,0,0,0,.78,0,0,0,0,0,0,0,0,.3,0,.78,0,.78,.78,15,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,800,800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H00301,1,24.003.01h,2017,4,9.5,9.5,0,.5,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H03601,1,24.036.01h,2017,4,1.1,1.1,0,16.2,0,5,1.1,1.1,0,16.2,0,5,1.1,1.1,0,0,0,0,0,0,0,0,16.2,0,1.1,0,2.2,1.1,20,0,0,0,0,0,0,0,0,1,5000,4000,0,0,1000,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H02101,1,24.021.01h,2017,4,5,5,0,.5,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H06801,1,24.068.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151111204001H04101,1,24.041.01h,2017,4,4,4,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H03201,1,24.032.01h,2017,4,19,19,0,.7,0,0,0,0,0,.7,0,0,0,0,0,0,0,0,0,0,0,0,.7,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3000,3000,0,0,0,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151111204001H03901,1,24.039.01h,2017,4,10,10,0,.5,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,800,800,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
310151112212001H00801,1,25.008.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151112212001H07101,1,25.071.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151112212001H06801,1,25.068.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151112212001H02301,1,25.023.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310151112212001H05901,1,25.059.01h,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
