HID,COUN,VCODE,HCODE,OWNER,HADDR,INTCODE,HSTATUS,HCHANGE,M101,M102,M103,M104,M105,M106
//住宅标识,县区代码,调查小区顺序码,住宅编码,样本归属,住宅地址,访问员编码,住宅状态码,换宅标识,住宅类型,建筑样式,建筑面积,市场估值,居住情况,宅内户数
310151202216001H014,310151,35,14,11,永发村570号,,1,044,1,1,68,35,1,1
310151202216001H018,310151,35,18,11,永发村1122号甲,,1,032,1,1,100,50,1,1
310151202216001H020,310151,35,20,11,永发村1129号,,2,,1,1,93,40,1,1
310151202216001H021,310151,35,21,11,永发村1157号,,1,,1,1,103,20,1,1
310151202216001H023,310151,35,23,11,永发村1222号,,1,051,1,1,76,20,1,1
310151202216001H031,310151,35,31,11,永发村1101号,,1,,1,1,111,30,1,1
310151202216001H032,310151,35,32,11,永发村1050号,,2,,1,1,40,20,1,1
310151202216001H036,310151,35,36,11,永发村1047号,,1,,1,1,90,20,1,1
310151202216001H037,310151,35,037,11,永发村1015号,,1,020,1,1,85,30,1,1
310151202216001H044,310151,35,44,11,永发村830号,,2,,1,1,103,50,1,1
310151202216001H051,310151,35,51,11,永发村116号,,2,,1,1,78,20,1,1
310151202216001H058,310151,35,58,11,永发村731号,,1,,1,1,83,30,1,1
310151202216001H065,310151,35,65,11,永发村251号,,2,,1,1,78,20,1,1
310151202216001H066,310151,35,66,11,永发村406号,,1,065,1,1,82,30,1,1
