区划代码,城乡属性,城乡分类,区划名称
151151107209 ,39,220,海洪港村村委会
151151107212 ,39,220,纯阳村村委会
151151107213 ,39,220,南协村村委会
151151107215 ,39,220,育德村村委会
151151107216 ,39,220,育新村村委会
151151107219 ,39,220,三协村村委会
151151107220 ,39,220,西新村村委会
151151107221 ,39,220,邻江村村委会
151151107223 ,39,220,南桥村村委会
151151107227 ,39,220,新安村村委会
151151107229 ,39,220,永安村村委会
151151107230 ,39,220,大平村村委会
151151107233 ,39,220,海中村村委会
151151107236 ,39,220,北桥村村委会
151151107239 ,39,220,海滨村村委会
151151107241 ,39,220,海安村村委会
151151108000 ,30,0,港沿镇
151151108001 ,31,121,沿中居委会
151151108201 ,33,122,建中村村委会
151151108202 ,33,122,建华村村委会
151151108204 ,33,122,港沿村村委会
151151108206 ,33,122,齐力村村委会
151151108208 ,33,122,跃马村村委会
151151108210 ,33,122,骏马村村委会
151151108213 ,33,122,富国村村委会
151151108215 ,39,220,富强村村委会
151151108216 ,39,220,惠中村村委会
151151108217 ,39,220,富军村村委会
151151108219 ,39,220,齐成村村委会
151151108223 ,39,220,惠军村村委会
151151108225 ,39,220,梅园村村委会
151151108227 ,33,122,漾滨村村委会
151151108228 ,39,220,合东村村委会
151151108229 ,39,220,合兴村村委会
151151108230 ,39,220,同效村村委会
151151108232 ,33,122,鲁东村村委会
151151108233 ,33,122,鲁屿村村委会
151151108234 ,39,220,园艺村村委会
151151108235 ,39,220,同心村村委会
310230114000 ,30,0,中兴镇
310230114001 ,31,121,广福居委会
310230114202 ,39,220,七滧村村委会
310230114203 ,39,220,爱国村村委会
310230114205 ,39,220,红星村村委会
310230114206 ,39,220,滧中村村委会
310230114209 ,33,122,中兴村村委会
310230114212 ,39,220,永南村村委会
310230114213 ,39,220,胜利村村委会
310230114214 ,39,220,北兴村村委会
310230114216 ,33,122,汲浜村村委会
310230114218 ,39,220,永隆村村委会
310230114220 ,39,220,富圩村村委会
310230114221 ,39,220,开港村村委会
310230115000 ,30,0,陈家镇
310230115001 ,31,121,裕弘居委会
310230115002 ,32,121,瀛陈居委会
310230115003 ,32,121,裕鸿佳苑居委会
310230115004 ,32,121,裕鸿佳苑第三社区居委会
310230115201 ,39,220,立新村村委会
310230115202 ,39,220,新桥村村委会
310230115205 ,32,121,铁塔村村委会
310230115207 ,39,220,东海村村委会
310230115209 ,39,220,朝阳村村委会
310230115212 ,33,122,陈南村村委会
310230115215 ,39,220,瀛东村村委会
310230115216 ,39,220,陈西村村委会
310230115218 ,39,220,八滧村村委会
310230115219 ,39,220,协隆村村委会
310230115220 ,39,220,奚家港村村委会
310230115224 ,33,122,花漂村村委会
310230115226 ,39,220,晨光村村委会
310230115228 ,39,220,德云村村委会
310230115229 ,39,220,裕丰村村委会
310230115230 ,39,220,先锋村村委会
310230115231 ,33,122,鸿田村村委会
310230115232 ,39,220,裕北村村委会
310230115234 ,39,220,展宏村村委会
310230115235 ,33,122,裕安村村委会
310230115236 ,39,220,裕西村村委会
310230116000 ,30,0,绿华镇
310230116001 ,31,121,新绿居委会
310230116201 ,39,220,绿湖村村委会
310230116203 ,39,220,绿港村村委会
310230116204 ,39,220,华星村村委会
310230116207 ,39,220,华荣村村委会
310230116214 ,33,122,绿园村村委会
310230116217 ,39,220,华西村村委会
310230116219 ,39,220,华渔村村委会
310230118000 ,30,0,港西镇
310230118201 ,39,220,双津村村委会
310230118202 ,33,122,北双村村委会
310230118203 ,31,121,盘西村村委会
310230118204 ,39,220,协西村村委会
310230118205 ,39,220,协北村村委会
310230118212 ,39,220,新港村村委会
310230118213 ,39,220,协兴村村委会
310230118215 ,39,220,团结村村委会
310230118216 ,39,220,富民村村委会
310230118218 ,39,220,排衙村村委会
310230118219 ,39,220,北闸村村委会
310230118221 ,37,122,静南村村委会
310230119000 ,30,0,建设镇
310230119201 ,39,220,富安村村委会
310230119204 ,39,220,虹桥村村委会
310230119207 ,39,220,效东村村委会
310230119208 ,39,220,建垦村村委会
310230119209 ,33,122,运南村村委会
310230119210 ,31,121,白钥村村委会
310230119212 ,39,220,三星村村委会
310230119213 ,39,220,界东村村委会
310230119222 ,39,220,浜东村村委会
310230119223 ,39,220,建设村村委会
310230119225 ,39,220,蟠南村村委会
310230119226 ,39,220,大同村村委会
310230119227 ,39,220,浜西村村委会
310230121000 ,30,0,新海镇
310230121001 ,38,123,跃进居委会
310230121002 ,31,121,新海居委会
310230121003 ,38,123,新海二村居委会
310230121004 ,38,123,红星居委会
310230121005 ,38,123,长征居委会
310230122000 ,30,0,东平镇
310230122001 ,38,123,东风新村居委会
310230122002 ,38,123,风伟新村居委会
310230122003 ,33,122,桂林新村居委会
310230122004 ,31,121,长江新村居委会
310230122005 ,38,123,前进新村居委会
310230122006 ,38,123,前哨新村居委会
310230123000 ,30,0,长兴镇
310230123001 ,32,121,凤凰居委会
310230123002 ,38,123,圆沙居委会
310230123003 ,38,123,前卫新村居委会
310230123201 ,39,220,海星村村委会
310230123202 ,39,220,新建村村委会
310230123203 ,39,220,合心村村委会
310230123204 ,39,220,鼎丰村村委会
310230123205 ,39,220,跃进村村委会
310230123206 ,39,220,大兴村村委会
310230123207 ,39,220,农建村村委会
310230123208 ,33,122,圆东村村委会
310230123209 ,39,220,同心村村委会
310230123210 ,39,220,庆丰村村委会
310230123211 ,39,220,长明村村委会
310230123212 ,33,122,丰产村村委会
310230123213 ,39,220,新港村村委会
310230123214 ,31,121,先进村村委会
310230123215 ,33,122,北兴村村委会
310230123216 ,33,122,红星村村委会
310230123217 ,33,122,团结村村委会
310230123218 ,33,122,建新村村委会
310230123219 ,39,220,石沙村村委会
310230123220 ,33,122,先丰村村委会
310230123221 ,33,122,光荣村村委会
310230123222 ,39,220,长征村村委会
310230123223 ,33,122,潘石村村委会
310230123224 ,33,122,创建村村委会
310230201000 ,30,0,新村乡
310230201205 ,39,220,新中村村委会
310230201207 ,39,220,新卫村村委会
310230201208 ,39,220,新乐村村委会
310230201209 ,31,210,新浜村村委会
310230201211 ,39,220,新国村村委会
310230201212 ,39,220,新洲村村委会
151151202000 ,30,0,横沙乡
151151202001 ,32,210,新民居委会
151151202201 ,39,220,兴胜村村委会
151151202202 ,39,220,增产村村委会
151151202203 ,39,220,公平村村委会
151151202204 ,39,220,红旗村村委会
151151202205 ,39,220,东浜村村委会
151151202206 ,33,210,新北村村委会
151151202207 ,39,220,兴隆村村委会
151151202208 ,39,220,丰乐村村委会
151151202209 ,39,220,新春村村委会
151151202210 ,39,220,东兴村村委会
151151202211 ,39,220,新联村村委会
151151202212 ,39,220,惠丰村村委会
151151202213 ,31,210,新永村村委会
151151202214 ,39,220,民建村村委会
151151202215 ,39,220,民生村村委会
151151202216 ,39,220,永发村村委会
151151202217 ,39,220,富民村村委会
151151202218 ,39,220,永胜村村委会
151151202219 ,39,220,东海村村委会
151151202220 ,39,220,民星村村委会
151151202221 ,39,220,江海村村委会
151151202222 ,39,220,民永村村委会
151151202223 ,39,220,民东村村委会
151151202224 ,39,220,海鸿村村委会
310230409000 ,30,0,前卫农场
310230409598 ,31,123,前卫农场虚拟生活区
310230410000 ,30,0,东平林场
310230410598 ,31,123,东平林场虚拟生活区
310230501000 ,30,0,上实现代农业园区
310230501498 ,31,123,上实现代农业园区虚拟社区
